x,y,z
0.093712,-1.48858,-2.25552
0.112533,-1.54308,-2.12555
0.056561,-1.48675,-2.2839
0.068819,-1.57493,-2.41992
0.12404,-1.61881,-2.38326
0.150668,-1.68102,-2.03918
0.142751,-1.791,-2.65466
0.190912,-1.82126,-2.60781
0.240723,-1.8119,-2.60203
0.306947,-1.86217,-2.58209
0.405686,-1.99099,-2.47487
0.226778,-1.90755,-2.09017
0.3484,-1.88429,-2.0023
0.3484,-1.88429,-2.0023
0.42988,-1.81344,-2.10529
0.42988,-1.81344,-2.10529
0.510107,-1.94444,-2.12067
0.581623,-2.00863,-2.18791
0.908608,-1.57088,-2.26812
0.940866,-1.66095,-2.32846
0.986579,-1.58893,-2.34427
1.01587,-1.74924,-2.42197
1.13026,-1.89534,-2.6722
1.13301,-1.99846,-3.05626
1.15558,-1.81447,-3.10934
1.17524,-1.70508,-2.84886
0.829619,-1.96193,-3.39583
1.01133,-1.93214,-3.54846
1.13301,-1.99846,-3.05626
0.886282,-1.864,-2.90006
1.01587,-1.74924,-2.42197
0.872574,-1.7292,-2.48038
0.924078,-1.80479,-2.53985
0.973873,-1.90958,-2.6651
0.940866,-1.66095,-2.32846
0.850053,-1.65688,-2.39968
0.872574,-1.7292,-2.48038
1.01587,-1.74924,-2.42197
0.490297,-2.0017,-3.08107
0.442003,-2.02379,-3.1814
0.677365,-1.91346,-3.39553
0.371433,-1.89706,-2.70644
0.289637,-1.95657,-2.71713
0.908608,-1.57088,-2.26812
0.833722,-1.58869,-2.31991
0.723318,-1.88769,-2.27754
0.692294,-1.91305,-2.37174
0.838047,-1.88392,-2.45322
0.833002,-1.83779,-2.32345
0.641657,-1.9404,-2.58822
0.887021,-1.74012,-2.08962
0.833002,-1.83779,-2.32345
0.83545,-1.6662,-2.39253
0.833722,-1.58869,-2.31991
0.838047,-1.88392,-2.45322
0.863047,-1.73332,-2.46492
0.973873,-1.90958,-2.6651
0.924078,-1.80479,-2.53985
0.611144,-2.00412,-2.55097
0.586612,-1.97396,-2.67634
0.216434,-1.88339,-2.826
0.357668,-1.963,-3.21457
0.582558,-1.7993,-3.42835
0.773483,-1.92006,-3.52545
0.787973,-1.80514,-3.57208
0.787973,-1.80514,-3.57208
0.81157,-1.63975,-3.53526
0.735525,-1.70108,-3.89385
0.766932,-1.81114,-3.93384
0.6726,-1.73788,-4.21102
0.728226,-1.81763,-4.16362
0.642157,-1.85469,-4.51041
0.58714,-1.7207,-4.5504
0.735525,-1.70108,-3.89385
0.654987,-1.727,-3.82329
0.570267,-1.77245,-4.18679
0.6726,-1.73788,-4.21102
0.442477,-1.78502,-4.48928
0.58714,-1.7207,-4.5504
0.503207,-1.78681,-4.13847
0.317156,-1.86337,-4.42333
0.572488,-1.87507,-4.94837
0.508878,-1.85564,-5.27324
0.520362,-1.77664,-4.93184
0.45984,-1.76865,-5.25057
0.271754,-1.83781,-4.84092
0.520362,-1.77664,-4.93184
0.194708,-1.83524,-5.18279
0.45984,-1.76865,-5.25057
0.087132,-1.92221,-4.77266
0.0,-1.91797,-5.1192
3.74177,0.347126,-4.17182
4.04361,0.555009,-3.57504
4.22395,0.724218,-3.06147
4.40301,0.807085,-2.6061
4.50954,0.978357,-2.16501
4.64434,1.08547,-1.74196
4.07458,1.28481,-2.73713
4.24748,1.45485,-2.277
3.94058,1.09184,-3.14108
3.74956,0.831686,-3.68957
3.50322,0.577819,-4.20336
3.51173,0.171128,-4.55241
3.29843,0.094779,-4.83566
3.06951,0.010901,-5.12662
2.85651,-0.088825,-5.3667
2.65623,-0.169326,-5.60517
2.50028,0.077034,-5.52378
2.68242,0.162887,-5.30658
2.86541,0.246702,-5.07454
3.11501,0.302164,-4.82719
3.33706,0.391358,-4.54269
1.26926,0.337076,1.2552
1.42851,-0.363487,1.24986
1.42687,-0.370559,1.33361
1.45086,-0.528348,1.45705
1.36065,-0.665852,1.21984
1.38406,-0.638337,1.43823
1.59426,-0.626987,1.55834
1.48425,-0.642222,1.63208
1.47007,-0.36938,1.49324
1.62093,-0.357712,1.64777
1.65043,-0.680182,1.61724
1.54526,-0.824324,1.74215
1.38958,-0.867844,1.76066
1.65576,-0.954174,1.8259
1.59715,-1.00631,1.91464
1.39207,-1.17958,1.99493
1.3836,-1.02587,1.80876
1.7627,-0.631224,1.65599
1.76299,-0.775415,1.80572
1.9495,-0.823902,1.84984
1.76077,-1.0654,1.85065
1.74362,-1.23462,1.99795
1.49747,-1.1911,2.13374
1.40021,-1.27659,2.17374
1.7561,-1.31992,2.21664
1.42038,-1.47512,2.45347
0.0,-2.67704,3.40189
0.191664,-2.74218,3.35213
0.327215,-3.16596,3.61761
0.0,-3.19725,3.45546
0.377767,-2.69948,3.41668
0.49034,-3.0289,3.72708
0.605427,-2.6254,3.43673
0.833423,-2.95228,3.57912
0.814242,-2.46057,3.41664
1.18657,-2.88378,3.53715
1.22871,-2.19659,3.22082
1.24917,-2.06285,3.13003
1.72966,-2.12696,2.98573
1.58733,-2.27988,3.27325
1.51539,-2.4993,3.46293
1.27451,-2.34081,3.42949
1.29554,-1.87609,2.97586
1.33881,-1.68696,2.72968
1.80259,-2.07179,2.67303
1.70217,-0.287679,1.69121
2.02491,-0.590685,1.6849
1.76354,-0.209278,1.69084
2.08124,-0.560523,1.73977
2.312,-0.54433,1.66706
2.08124,-0.560523,1.73977
1.76354,-0.209278,1.69084
2.13922,-0.307465,1.49363
1.56812,0.160167,1.45231
1.84743,0.235521,1.19231
2.03996,0.10667,1.26356
1.77047,-0.014896,1.54758
1.56812,0.160167,1.45231
1.49406,0.28435,1.26558
1.61955,0.484865,1.08566
1.84743,0.235521,1.19231
1.61955,0.484865,1.08566
2.00178,0.53887,1.17893
2.12027,0.439203,1.18143
1.65319,0.708563,0.929418
1.95567,0.65084,1.11205
1.8745,0.825335,0.840434
2.0352,0.740662,1.05821
2.50667,0.177264,1.35421
2.5568,-0.234125,1.42584
2.314,-1.04395,1.93712
2.37056,-1.31994,2.18864
1.79536,-1.4486,2.31226
1.8835,-1.85278,2.4212
1.33881,-1.68696,2.72968
2.2988,-1.4841,2.37833
2.43192,-1.79186,2.42086
2.27483,-1.95329,2.70837
2.1274,-2.17293,2.76378
1.8835,-1.85278,2.4212
2.02782,-2.20769,3.05747
2.21127,-2.17553,3.15136
2.07758,-2.54406,3.59379
2.2058,-1.99568,3.05323
2.23458,-1.92147,2.85369
2.43192,-1.79186,2.42086
2.49222,-1.68146,2.76375
1.68272,-2.69984,3.87279
1.46979,-3.12591,4.22697
1.41931,-3.11477,4.08523
1.59127,-2.79531,3.68753
0.969239,-3.23762,4.03284
0.44624,-3.17591,4.02519
0.0,-3.30164,4.23455
0.0,-3.34742,3.83536
0.29338,-3.12617,4.20284
0.507507,-2.92783,4.74909
0.855572,-3.26479,4.44395
1.00122,-3.1689,4.43322
2.63476,-1.57146,2.91711
2.2058,-1.99568,3.05323
2.37344,-1.70144,3.23013
2.24501,-1.97126,3.76286
2.21127,-2.17553,3.15136
1.77247,-2.56174,3.91719
2.175,-1.86115,3.97464
2.02053,-2.05733,4.12619
1.69615,-2.58149,3.98836
1.72097,-2.02821,4.40171
1.41798,-2.44709,4.55433
1.3504,-2.80628,4.34724
1.3504,-2.80628,4.34724
1.20015,-3.06319,4.61336
1.30446,-2.24644,4.99702
1.20015,-3.06319,4.61336
0.873342,-3.17356,4.70963
0.69617,-2.81913,4.78404
0.424844,-2.24606,4.97854
0.273753,-2.63511,4.90292
0.424844,-2.24606,4.97854
0.69617,-2.81913,4.78404
0.696076,-2.02619,5.19322
0.635427,-1.33174,5.51565
1.51174,-1.52149,4.93809
1.90679,-1.79598,4.42285
2.64494,-1.42574,3.81463
2.42155,-0.825727,3.77924
2.20304,-1.15412,4.21662
2.2517,-0.470671,4.26915
1.78853,-0.096426,4.80961
1.60139,-0.83814,4.89572
2.35455,-1.67022,3.70565
2.54302,-1.36369,3.22818
2.64494,-1.42574,3.81463
2.54302,-1.36369,3.22818
2.58833,-1.22854,3.23654
2.42155,-0.825727,3.77924
2.62956,-0.666688,3.16481
2.33697,0.076831,3.75401
2.37344,-1.70144,3.23013
2.69544,-0.979715,2.59419
2.70344,-0.591982,2.832
2.62956,-0.666688,3.16481
2.43001,-0.125791,2.81146
2.20714,0.379399,3.07876
2.63476,-1.57146,2.91711
2.2988,-1.4841,2.37833
2.37056,-1.31994,2.18864
2.69544,-0.979715,2.59419
2.66632,-0.643661,2.01022
2.90404,-0.893879,2.24721
2.90404,-0.893879,2.24721
2.56923,-0.316299,2.36897
2.56093,0.171605,2.35942
2.26532,0.675925,2.57683
2.33665,0.421402,2.02939
2.28442,0.855935,2.02263
2.15045,0.584277,1.47684
2.16779,0.809225,1.51462
2.64345,0.01895,1.92542
2.50667,0.177264,1.35421
2.12027,0.439203,1.18143
1.95567,0.65084,1.11205
2.0352,0.740662,1.05821
2.62558,-0.406381,1.66785
2.5568,-0.234125,1.42584
2.56923,-0.316299,2.36897
2.66632,-0.643661,2.01022
2.314,-1.04395,1.93712
2.57219,-0.610608,1.66594
