date	palladium	platinum	gold
2013-05-25	742.04	1469.99	1394.73
2013-05-28	733.66	1464.31	1399.14
2013-05-29	739.48	1460.8	1391.19
2013-05-30	760.05	1478.55	1403.05
2013-05-31	763.75	1484.83	1428.21
2013-06-01	771.86	1503.84	1441.73
2013-06-04	771.76	1510.55	1439.2
2013-06-05	768.65	1523.99	1438.27
2013-06-06	776.31	1539.26	1435.93
2013-06-07	780.12	1558.18	1446.07
2013-06-08	787.76	1592.11	1461.51
2013-06-11	783.6	1547.46	1430.8
2013-06-12	792.6	1555.0	1426.37
2013-06-14	777.9	1522.52	1441.66
2013-06-15	748.46	1482.61	1410.78
2013-06-18	743.51	1474.79	1411.64
2013-06-19	720.6	1463.76	1413.02
2013-06-20	732.17	1486.03	1410.65
2013-06-21	716.04	1472.04	1370.32
2013-06-22	710.59	1434.86	1358.27
2013-06-25	708.91	1438.45	1357.77
2013-06-26	704.69	1420.95	1351.54
2013-06-27	686.23	1398.89	1299.5
2013-06-28	680.71	1398.42	1302.23
2013-06-29	680.4	1393.39	1265.36
2013-07-02	715.05	1425.88	1313.39
2013-07-03	726.67	1461.81	1335.49
2013-07-04	728.42	1454.7	1330.8
2013-07-05	724.97	1431.82	1332.13
2013-07-06	718.9	1421.77	1316.82
2013-07-09	727.41	1430.18	1312.87
2013-07-10	746.7	1455.12	1331.73
2013-07-11	739.63	1443.27	1325.03
2013-07-12	758.52	1467.81	1341.82
2013-07-13	752.49	1467.19	1338.1
2013-07-16	761.44	1480.94	1343.8
2013-07-17	760.62	1477.29	1345.46
2013-07-18	761.66	1480.55	1339.95
2013-07-19	759.38	1466.68	1333.09
2013-07-20	775.7	1479.46	1340.8
2013-07-23	776.3	1489.21	1365.28
2013-07-24	764.56	1491.73	1378.24
2013-07-25	766.45	1502.73	1393.54
2013-07-26	774.12	1504.3	1372.49
2013-07-27	777.54	1508.9	1393.22
2013-07-30	764.78	1508.44	1405.71
2013-07-31	779.33	1518.48	1398.2
2013-08-01	782.72	1531.45	1414.1
2013-08-02	771.78	1522.36	1403.36
2013-08-03	776.81	1517.43	1368.19
2013-08-06	774.89	1536.04	1385.93
2013-08-07	769.9	1528.16	1368.24
2013-08-08	763.55	1506.95	1352.65
2013-08-09	770.99	1533.5	1363.79
2013-08-10	779.69	1571.0	1379.25
2013-08-13	784.64	1584.09	1401.94
2013-08-14	787.2	1598.83	1417.17
2013-08-15	784.62	1589.5	1410.67
2013-08-16	795.74	1611.64	1421.19
2013-08-17	798.57	1607.73	1441.19
2013-08-20	800.21	1603.61	1455.68
2013-08-21	791.5	1596.79	1449.05
2013-08-22	787.68	1601.85	1441.77
2013-08-23	800.33	1620.94	1462.47
2013-08-24	800.25	1635.57	1460.75
2013-08-27	796.8	1629.62	1459.56
2013-08-28	795.49	1648.48	1502.59
2013-08-29	796.87	1635.33	1520.66
2013-08-30	788.3	1623.53	1500.06
2013-08-31	781.39	1615.15	1488.75
2013-09-03	776.15	1632.49	1487.36
2013-09-04	771.38	1633.95	1492.6
2013-09-05	770.38	1645.12	1510.36
2013-09-06	743.95	1604.91	1494.07
2013-09-07	738.47	1591.96	1470.76
2013-09-10	745.69	1601.74	1484.96
2013-09-11	732.34	1569.91	1459.37
2013-09-12	743.97	1570.6	1446.87
2013-09-13	720.62	1534.73	1407.88
2013-09-14	726.32	1507.37	1377.11
2013-09-17	731.91	1508.46	1364.93
2013-09-18	733.7	1499.61	1368.93
2013-09-19	725.69	1477.3	1347.45
2013-09-20	729.21	1498.03	1384.79
2013-09-21	738.64	1482.39	1382.66
2013-09-24	737.66	1469.16	1356.05
2013-09-25	729.35	1455.63	1346.69
2013-09-26	738.21	1468.2	1355.51
2013-09-27	749.94	1481.27	1378.34
2013-09-28	748.74	1467.32	1374.25
2013-10-01	762.4	1485.11	1395.03
2013-10-02	753.85	1460.97	1383.35
2013-10-03	740.38	1435.07	1343.43
2013-10-04	740.55	1431.52	1351.99
2013-10-05	725.53	1419.07	1358.18
2013-10-08	723.66	1437.97	1361.14
2013-10-09	736.24	1461.05	1371.75
2013-10-10	738.73	1455.6	1362.48
2013-10-11	730.28	1438.71	1350.29
2013-10-12	733.26	1432.35	1331.63
2013-10-15	741.73	1426.4	1323.7
2013-10-16	733.46	1419.2	1302.49
2013-10-17	731.13	1435.29	1325.62
2013-10-18	738.52	1456.4	1349.65
2013-10-19	755.62	1466.18	1348.44
2013-10-22	764.11	1475.91	1349.76
2013-10-23	764.91	1463.08	1346.8
2013-10-24	759.34	1465.61	1360.48
2013-10-25	760.41	1466.87	1360.24
2013-10-26	754.67	1469.63	1366.51
2013-10-29	758.9	1492.23	1381.77
2013-10-30	763.09	1501.53	1383.16
2013-10-31	768.97	1512.17	1391.06
2013-11-01	765.2	1507.7	1375.44
2013-11-02	763.56	1506.43	1360.29
2013-11-06	772.8	1508.15	1363.84
2013-11-07	789.8	1523.26	1374.06
2013-11-08	790.16	1526.18	1370.02
2013-11-09	795.29	1525.71	1369.79
2013-11-12	791.79	1505.86	1348.08
2013-11-13	790.04	1510.46	1351.18
2013-11-14	781.86	1515.17	1346.35
2013-11-15	775.58	1523.84	1348.6
2013-11-16	772.27	1516.17	1346.75
2013-11-19	760.13	1502.47	1343.84
2013-11-20	751.72	1484.57	1333.86
2013-11-21	755.82	1484.26	1338.47
2013-11-22	762.19	1486.17	1325.35
2013-11-23	760.66	1476.88	1313.69
2013-11-26	751.28	1455.14	1297.88
2013-11-27	765.74	1469.97	1326.53
2013-11-28	768.24	1468.57	1327.18
2013-11-29	764.85	1449.81	1322.78
2013-11-30	770.47	1458.77	1328.85
2013-12-03	764.13	1453.67	1318.85
2013-12-04	761.04	1437.65	1302.97
2013-12-05	763.58	1446.95	1297.23
2013-12-06	772.93	1457.49	1313.76
2013-12-07	778.67	1443.98	1303.87
2013-12-10	772.47	1434.28	1294.65
2013-12-11	777.89	1455.65	1313.09
2013-12-12	774.52	1458.55	1320.95
2013-12-13	772.9	1453.13	1309.4
2013-12-14	765.03	1443.42	1292.05
2013-12-17	756.57	1433.89	1299.16
2013-12-18	758.65	1438.06	1307.3
2013-12-19	750.87	1435.02	1306.08
2013-12-20	737.38	1406.95	1276.91
2013-12-21	740.11	1404.93	1267.09
2013-12-24	742.63	1416.4	1263.58
2013-12-25	730.12	1392.06	1255.16
2013-12-26	730.58	1392.92	1255.94
2013-12-27	731.08	1393.88	1256.8
2013-12-28	740.61	1434.01	1268.53
2013-12-31	745.01	1434.24	1264.3
2014-01-01	746.55	1425.9	1261.58
2014-01-10	785.6	1507.25	1306.85
2014-01-11	785.76	1517.06	1315.55
2014-01-14	787.99	1526.99	1326.8
2014-01-15	786.52	1527.09	1334.47
2014-01-16	786.62	1517.48	1327.66
2014-01-17	792.52	1522.76	1328.65
2014-01-18	798.68	1542.53	1334.0
2014-01-21	809.07	1585.69	1357.19
2014-01-22	811.06	1582.98	1356.57
